Formula,Elastic Modulus,Temperature
BaTiO3,106.0,311
BaTiO3,109.0,325
BaTiO3,114.0,346
BaTiO3,120.0,367
BaTiO3,125.0,386
BaTiO3,126.0,393
BaTiO3,126.0,393
BaTiO3,136.0,396
BaTiO3,154.0,399
BaTiO3,161.0,401
BaTiO3,165.0,406
BaTiO3,169.0,411
BaTiO3,142.0,112
BaTiO3,137.0,132
BaTiO3,130.0,153
BaTiO3,124.0,167
BaTiO3,115.0,185
BaTiO3,109.0,199
BaTiO3,104.0,209
BaTiO3,102.0,211
BaTiO3,102.0,218
BaTiO3,102.0,218
BaTiO3,103.0,227
BaTiO3,105.0,244
BaTiO3,103.0,260
BaTiO3,101.0,272
BaTiO3,100.0,286
BaTiO3,100.0,293
BaTiO3,100.0,293
BaTiO3,104.0,312
BaTiO3,109.0,328
BaTiO3,112.0,345
BaTiO3,117.0,364
BaTiO3,120.0,380
BaTiO3,125.0,395
BaTiO3,125.0,395
BaTiO3,141.0,397
BaTiO3,149.0,402
BaTiO3,163.0,405
BaTiO3,169.0,414
ZrB2,550.0,23
Al2O3,436.0,298
Al2O3,402.0,613
Al2O3,384.0,619
Al2O3,379.0,663
Al2O3,380.0,743
Al2O3,377.0,763
Al2O3,363.0,1034
Al2O3,357.0,1073
Al2O3,289.0,1218
Al2O3,283.0,1247
Al2O3,277.0,1293
Al2O3,264.0,1373
Al2O3,256.0,1413
Al2O3,251.0,1449
Al2O3,248.0,1463
Al2O3,246.0,1473
MgAl2O4,216.0,20
ThO2,240.7,23
ThO2,238.7,100
ThO2,234.7,200
ThO2,231.2,300
ThO2,227.2,400
ThO2,224.1,500
ThO2,221.1,600
ThO2,214.1,775
ThO2,212.1,825
ThO2,210.1,875
ThO2,209.1,925
ThO2,207.1,975
ThO2,206.1,1025
ThO2,203.1,1075
ThO2,201.5,1125
ThO2,198.0,1175
ThO2,191.0,1225
TiN,255.0,23
MgAl2O4,275.0,20
MgAl2O4,264.0,400
MgAl2O4,259.0,600
MgAl2O4,252.0,800
MgAl2O4,240.0,1200
MgAl2O4,200.0,1400
Si3N4,301.0,20
SiO2,73.4,25
SiO2,78.3,550
SiO2,78.3,570
SiO2,78.7,600
SiO2,79.1,720
SiO2,79.1,800
SiO2,79.9,920
SiO2,79.9,930
SiO2,80.3,1050
AlN,280.0,23
SiC,402.0,20
SiC,382.0,1000
SiC,375.0,1250
SiC,372.0,1350
Al2O3,403.0,296
Al2O3,400.9,350
Al2O3,398.5,400
Al2O3,396.0,450
Al2O3,393.5,500
Al2O3,380.8,550
Al2O3,389.3,600
Al2O3,385.6,650
Al2O3,382.8,700
Al2O3,380.2,750
Al2O3,377.4,800
Al2O3,374.7,850
Al2O3,372.0,900
Al2O3,369.2,950
