Formula,Fracture Toughness,Temperature
Y3Al5O12,4.0,1600
Y3Al5O12,4.2,1600
Y3Al5O12,4.6,1600
Y3Al5O12,1.0,23
Y3Al5O12,1.1,23
Y3Al5O12,1.5,23
Y3Al5O12,2.1,23
Y3Al5O12,2.5,23
Y3Al5O12,1.9,800
Y3Al5O12,2.1,800
Y3Al5O12,2.6,800
Y3Al5O12,2.9,1200
Y3Al5O12,3.3,1200
Y3Al5O12,3.6,1200
Y3Al5O12,4.0,1200
Y3Al5O12,4.8,1400
Y3Al5O12,5.1,1400
Y3Al5O12,5.8,1400
Y3Al5O12,7.0,1600
Y3Al5O12,8.5,1600
Y3Al5O12,9.7,1600
Si3N4,2.2,23
TiB2,6.2,20
Si3N4,4.0,23
ZrO2,7.6,23
SiC,7.7,20
SiC,7.9,1000
SiC,7.8,1200
SiC,4.8,1350
Si3N4,6.2,23
Al2O3,3.5,20
Al2O3,3.7,20
Al2O3,3.3,20
Al2O3,3.1,20
Al2O3,2.9,20
Al2O3,2.9,500
Al2O3,2.8,500
Al2O3,2.5,500
Al2O3,2.3,500
Al2O3,2.5,500
Al2O3,2.3,800
Al2O3,2.5,800
Al2O3,1.8,800
Al2O3,1.6,800
Al2O3,1.6,800
Si3N4,5.2,23
Si3N4,4.0,910
Si3N4,3.0,1000
Si3N4,2.6,1210
Si3N4,7.11,23
Si3N4,4.59,23
TiB2,5.0,25
TiB2,6.6,600
SiC,2.2,25
SiC,4.0,800
SiC,4.9,1050
Si3N4,4.95,23
Si3N4,2.3,23
SiC,2.6,20
SiC,3.4,20
SiC,3.1,1400
Si3N4,6.0,22
Si3N4,5.5,800
Si3N4,6.4,900
Si3N4,3.6,1120
Si3N4,3.5,1200
Si3N4,4.4,22
Si3N4,4.3,1000
Si3N4,1.0,1360
Si3N4,6.8,22
Si3N4,6.8,800
Si3N4,5.4,1000
Si3N4,5.2,1260
SiC,4.0,23
B4C,3.7,330
B4C,3.8,900
B4C,3.4,1300
B4C,3.9,1500
Al2O3,2.46,25
Al2O3,2.11,200
Al2O3,1.98,400
Al2O3,1.81,600
Al2O3,1.79,775
Si3N4,3.2,20
Si3N4,4.3,20
Si3N4,3.6,1400
SiC,2.0,23
SiC,2.2,25
SiC,4.0,800
SiC,4.9,1050
Al2O3,4.1,23
Si3N4,5.5,23
SiC,2.3,22
Si3N4,3.12,22
Si3N4,3.18,200
Si3N4,2.85,500
Si3N4,2.83,800
Si3N4,2.59,1000
Si3N4,2.61,1100
Si3N4,2.58,1200
Si3N4,7.11,23
Si3N4,2.1,25
Si3N4,1.7,600
Si3N4,1.7,800
Si3N4,1.4,1000
Si3N4,1.4,1200
SiC,5.3,22
SiC,6.5,1200
Si3N4,6.0,25
Si3N4,6.1,1000
Si3N4,5.3,1100
Si3N4,4.6,1200
Si3N4,4.3,1300
Si3N4,5.0,1350
Si3N4,9.7,1400
Si3N4,7.9,1450
Si3N4,5.8,1500
Si3N4,4.4,1550
Si3N4,5.1,1350
Si3N4,7.0,1400
Si3N4,9.0,1450
Si3N4,7.4,1500
Si3N4,5.1,1550
Si3N4,6.8,22
Si3N4,6.8,800
Si3N4,5.4,1000
Si3N4,5.2,1260
TiB2,6.0,23
Si3N4,4.0,23
SiC,3.1,500
SiC,3.1,1000
SiC,3.1,1200
SiC,3.1,1400
SiC,3.1,1500
SiC,7.7,20
SiC,7.9,1000
SiC,7.8,1200
SiC,4.8,1350
Si3N4,7.9,25
Si3N4,7.1,800
Si3N4,6.9,1000
Si3N4,6.0,1200
Si3N4,10.4,1371
Si3N4,7.4,25
Si3N4,6.1,1371
Si3N4,3.8,25
Si3N4,2.3,23
Y3Al5O12,1.5,20
Y3Al5O12,1.9,20
Y3Al5O12,2.4,20
Y3Al5O12,2.9,20
Y3Al5O12,2.1,1200
Y3Al5O12,2.4,1200
Y3Al5O12,2.7,1200
Y3Al5O12,2.9,1200
Y3Al5O12,3.0,1300
Y3Al5O12,3.3,1300
Y3Al5O12,3.1,1400
Y3Al5O12,3.5,1400
Y3Al5O12,3.8,1400
Y3Al5O12,4.1,1400
Y3Al5O12,3.8,1600
Y3Al5O12,3.9,1600
Y3Al5O12,4.3,1600
Y3Al5O12,4.6,1600
Y3Al5O12,1.1,20
Y3Al5O12,1.5,20
Y3Al5O12,1.7,20
Y3Al5O12,2.3,20
Y3Al5O12,2.7,20
Y3Al5O12,2.0,800
Y3Al5O12,2.2,800
Y3Al5O12,2.6,800
Y3Al5O12,2.9,1200
Y3Al5O12,3.2,1200
Y3Al5O12,3.6,1200
Y3Al5O12,4.0,1200
Y3Al5O12,4.9,1400
Y3Al5O12,5.0,1400
Y3Al5O12,5.8,1400
Y3Al5O12,6.9,1600
Y3Al5O12,8.3,1600
Y3Al5O12,9.5,1600
AlN,2.9,25
AlN,2.8,800
AlN,3.3,1050
Si3N4,5.2,23
TiB2,6.2,20
